"GID_0","NAME_0","COUNTRY","CONTINENT"
"AFG","Afghanistan","Afghanistan","Asia"
"XAD","Akrotiri and Dhekelia","Akrotiri and Dhekelia","Asia"
"Z03","Aksai Chin","China","Asia"
"ALA","Åland","Åland","Europe"
"ALB","Albania","Albania","Europe"
"DZA","Algeria","Algeria","Africa"
"ASM","American Samoa","American Samoa","Oceania"
"AND","Andorra","Andorra","Europe"
"AGO","Angola","Angola","Africa"
"AIA","Anguilla","Anguilla","North America"
"ATA","Antarctica","Antarctica","Antarctica"
"ATG","Antigua and Barbuda","Antigua and Barbuda","North America"
"ARG","Argentina","Argentina","South America"
"ARM","Armenia","Armenia","Asia"
"ABW","Aruba","Aruba","South America"
"Z07","Arunachal Pradesh","India","Asia"
"AUS","Australia","Australia","Australia"
"AUT","Austria","Austria","Europe"
"Z06","Azad Kashmir","Pakistan","Asia"
"AZE","Azerbaijan","Azerbaijan","Asia"
"AZE","Azerbaijan","Azerbaijan","Europe"
"BHS","Bahamas","Bahamas","North America"
"BHR","Bahrain","Bahrain","Asia"
"BGD","Bangladesh","Bangladesh","Asia"
"BRB","Barbados","Barbados","North America"
"BLR","Belarus","Belarus","Europe"
"BEL","Belgium","Belgium","Europe"
"BLZ","Belize","Belize","North America"
"BEN","Benin","Benin","Africa"
"BMU","Bermuda","Bermuda","North America"
"BTN","Bhutan","Bhutan","Asia"
"BOL","Bolivia","Bolivia","South America"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","South America"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","North America"
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Europe"
"BWA","Botswana","Botswana","Africa"
"BVT","Bouvet Island","Bouvet Island","Antarctica"
"BRA","Brazil","Brazil","South America"
"BRA","Brazil","Brazil","Africa"
"IOT","British Indian Ocean Territory","British Indian Ocean Territory","Asia"
"VGB","British Virgin Islands","British Virgin Islands","North America"
"BRN","Brunei","Brunei","Asia"
"BGR","Bulgaria","Bulgaria","Europe"
"BFA","Burkina Faso","Burkina Faso","Africa"
"BDI","Burundi","Burundi","Africa"
"CPV","Cabo Verde","Cabo Verde","Africa"
"KHM","Cambodia","Cambodia","Asia"
"CMR","Cameroon","Cameroon","Africa"
"CAN","Canada","Canada","North America"
"XCA","Caspian Sea","Caspian Sea","Asia"
"CYM","Cayman Islands","Cayman Islands","North America"
"CAF","Central African Republic","Central African Republic","Africa"
"TCD","Chad","Chad","Africa"
"CHL","Chile","Chile","South America"
"CHL","Chile","Chile","Oceania"
"CHN","China","China","Asia"
"CXR","Christmas Island","Christmas Island","Asia"
"XCL","Clipperton Island","Clipperton Island","North America"
"CCK","Cocos Islands","Cocos Islands","Asia"
"COL","Colombia","Colombia","South America"
"COL","Colombia","Colombia","North America"
"COM","Comoros","Comoros","Africa"
"COK","Cook Islands","Cook Islands","Oceania"
"CRI","Costa Rica","Costa Rica","North America"
"CRI","Costa Rica","Costa Rica","South America"
"CIV","Côte d'Ivoire","Côte d'Ivoire","Africa"
"HRV","Croatia","Croatia","Europe"
"CUB","Cuba","Cuba","North America"
"CUW","Curaçao","Curaçao","South America"
"CYP","Cyprus","Cyprus","Asia"
"CZE","Czechia","Czechia","Europe"
"COD","Democratic Republic of the Congo","Democratic Republic of the Congo","Africa"
"DNK","Denmark","Denmark","Europe"
"DJI","Djibouti","Djibouti","Africa"
"DMA","Dominica","Dominica","North America"
"DOM","Dominican Republic","Dominican Republic","North America"
"ECU","Ecuador","Ecuador","South America"
"EGY","Egypt","Egypt","Africa"
"EGY","Egypt","Egypt","Asia"
"SLV","El Salvador","El Salvador","North America"
"GNQ","Equatorial Guinea","Equatorial Guinea","Africa"
"ERI","Eritrea","Eritrea","Africa"
"EST","Estonia","Estonia","Europe"
"ETH","Ethiopia","Ethiopia","Africa"
"FLK","Falkland Islands","Falkland Islands","South America"
"FRO","Faroe Islands","Faroe Islands","Europe"
"FJI","Fiji","Fiji","Oceania"
"FIN","Finland","Finland","Europe"
"FRA","France","France","Europe"
"GUF","French Guiana","French Guiana","South America"
"PYF","French Polynesia","French Polynesia","Oceania"
"ATF","French Southern Territories","French Southern Territories","Antarctica"
"ATF","French Southern Territories","French Southern Territories","Africa"
"GAB","Gabon","Gabon","Africa"
"GMB","Gambia","Gambia","Africa"
"GEO","Georgia","Georgia","Asia"
"DEU","Germany","Germany","Europe"
"GHA","Ghana","Ghana","Africa"
"GIB","Gibraltar","Gibraltar","Africa"
"GRC","Greece","Greece","Europe"
"GRL","Greenland","Greenland","North America"
"GRD","Grenada","Grenada","North America"
"GRD","Grenada","Grenada","South America"
"GLP","Guadeloupe","Guadeloupe","North America"
"GUM","Guam","Guam","Oceania"
"GTM","Guatemala","Guatemala","North America"
"GGY","Guernsey","Guernsey","Europe"
"GNB","Guinea-Bissau","Guinea-Bissau","Africa"
"GIN","Guinea","Guinea","Africa"
"GUY","Guyana","Guyana","South America"
"HTI","Haiti","Haiti","North America"
"HMD","Heard Island and McDonald Island","Heard Island and McDonald Island","Antarctica"
"HND","Honduras","Honduras","North America"
"HUN","Hungary","Hungary","Europe"
"ISL","Iceland","Iceland","Europe"
"IND","India","India","Asia"
"IDN","Indonesia","Indonesia","Asia"
"IDN","Indonesia","Indonesia","Oceania"
"IRN","Iran","Iran","Asia"
"IRQ","Iraq","Iraq","Asia"
"IRL","Ireland","Ireland","Europe"
"IMN","Isle of Man","Isle of Man","Europe"
"ISR","Israel","Israel","Asia"
"ITA","Italy","Italy","Europe"
"JAM","Jamaica","Jamaica","North America"
"Z01","Jammu and Kashmir","India","Asia"
"JPN","Japan","Japan","Asia"
"JPN","Japan","Japan","Oceania"
"JEY","Jersey","Jersey","Europe"
"JOR","Jordan","Jordan","Asia"
"Z04","Kaurik","India","Asia"
"KAZ","Kazakhstan","Kazakhstan","Asia"
"KAZ","Kazakhstan","Kazakhstan","Europe"
"KEN","Kenya","Kenya","Africa"
"KIR","Kiribati","Kiribati","Oceania"
"XKO","Kosovo","Kosovo","Europe"
"KWT","Kuwait","Kuwait","Asia"
"KGZ","Kyrgyzstan","Kyrgyzstan","Asia"
"LAO","Laos","Laos","Asia"
"Z05","Lapthal","India","Asia"
"LVA","Latvia","Latvia","Europe"
"LBN","Lebanon","Lebanon","Asia"
"LSO","Lesotho","Lesotho","Africa"
"LBR","Liberia","Liberia","Africa"
"LBY","Libya","Libya","Africa"
"LIE","Liechtenstein","Liechtenstein","Europe"
"LTU","Lithuania","Lithuania","Europe"
"LUX","Luxembourg","Luxembourg","Europe"
"MDG","Madagascar","Madagascar","Africa"
"MWI","Malawi","Malawi","Africa"
"MYS","Malaysia","Malaysia","Asia"
"MDV","Maldives","Maldives","Asia"
"MLI","Mali","Mali","Africa"
"MLT","Malta","Malta","Europe"
"MHL","Marshall Islands","Marshall Islands","Oceania"
"MTQ","Martinique","Martinique","North America"
"MRT","Mauritania","Mauritania","Africa"
"MUS","Mauritius","Mauritius","Africa"
"MYT","Mayotte","Mayotte","Africa"
"MEX","México","México","North America"
"FSM","Micronesia","Micronesia","Oceania"
"MDA","Moldova","Moldova","Europe"
"MCO","Monaco","Monaco","Europe"
"MNG","Mongolia","Mongolia","Asia"
"MNE","Montenegro","Montenegro","Europe"
"MSR","Montserrat","Montserrat","North America"
"MAR","Morocco","Morocco","Africa"
"MOZ","Mozambique","Mozambique","Africa"
"MMR","Myanmar","Myanmar","Asia"
"NAM","Namibia","Namibia","Africa"
"NRU","Nauru","Nauru","Oceania"
"NPL","Nepal","Nepal","Asia"
"NLD","Netherlands","Netherlands","Europe"
"NCL","New Caledonia","New Caledonia","Oceania"
"NZL","New Zealand","New Zealand","Oceania"
"NIC","Nicaragua","Nicaragua","North America"
"NER","Niger","Niger","Africa"
"NGA","Nigeria","Nigeria","Africa"
"NIU","Niue","Niue","Oceania"
"NFK","Norfolk Island","Norfolk Island","Oceania"
"PRK","North Korea","North Korea","Asia"
"MKD","North Macedonia","North Macedonia","Europe"
"ZNC","Northern Cyprus","Northern Cyprus","Asia"
"MNP","Northern Mariana Islands","Northern Mariana Islands","Oceania"
"NOR","Norway","Norway","Europe"
"OMN","Oman","Oman","Asia"
"Z08","Pa-li-chia-ssu","China","Asia"
"PAK","Pakistan","Pakistan","Asia"
"PLW","Palau","Palau","Oceania"
"PSE","Palestine","Palestine","Asia"
"PAN","Panama","Panama","North America"
"PNG","Papua New Guinea","Papua New Guinea","Oceania"
"XPI","Paracel Islands","Paracel Islands","Asia"
"PRY","Paraguay","Paraguay","South America"
"PER","Peru","Peru","South America"
"PHL","Philippines","Philippines","Asia"
"PCN","Pitcairn Islands","Pitcairn Islands","Oceania"
"POL","Poland","Poland","Europe"
"PRT","Portugal","Portugal","Europe"
"PRT","Portugal","Portugal","Africa"
"PRI","Puerto Rico","Puerto Rico","North America"
"QAT","Qatar","Qatar","Asia"
"COG","Republic of the Congo","Republic of the Congo","Africa"
"REU","Réunion","Réunion","Africa"
"ROU","Romania","Romania","Europe"
"RUS","Russia","Russia","Europe"
"RUS","Russia","Russia","Asia"
"RWA","Rwanda","Rwanda","Africa"
"BLM","Saint-Barthélemy","Saint-Barthélemy","North America"
"MAF","Saint-Martin","Saint-Martin","North America"
"SHN","Saint Helena, Ascension and Tris","Saint Helena, Ascension and Tris","Africa"
"SHN","Saint Helena, Ascension and Tris","Saint Helena, Ascension and Tris","Antarctica"
"KNA","Saint Kitts and Nevis","Saint Kitts and Nevis","North America"
"LCA","Saint Lucia","Saint Lucia","North America"
"SPM","Saint Pierre and Miquelon","Saint Pierre and Miquelon","North America"
"VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","North America"
"WSM","Samoa","Samoa","Oceania"
"SMR","San Marino","San Marino","Europe"
"Z09","Sang","India","Asia"
"STP","São Tomé and Príncipe","São Tomé and Príncipe","Africa"
"SAU","Saudi Arabia","Saudi Arabia","Asia"
"SEN","Senegal","Senegal","Africa"
"SRB","Serbia","Serbia","Europe"
"SYC","Seychelles","Seychelles","Africa"
"Z02","Shaksgam Valley","China","Asia"
"SLE","Sierra Leone","Sierra Leone","Africa"
"SGP","Singapore","Singapore","Asia"
"SXM","Sint Maarten","Sint Maarten","North America"
"SVK","Slovakia","Slovakia","Europe"
"SVN","Slovenia","Slovenia","Europe"
"SLB","Solomon Islands","Solomon Islands","Oceania"
"SOM","Somalia","Somalia","Africa"
"ZAF","South Africa","South Africa","Africa"
"SGS","South Georgia and the South Sand","South Georgia and the South Sand","Antarctica"
"KOR","South Korea","South Korea","Asia"
"SSD","South Sudan","South Sudan","Africa"
"ESP","Spain","Spain","Europe"
"ESP","Spain","Spain","Africa"
"XSP","Spratly Islands","Spratly Islands","Asia"
"LKA","Sri Lanka","Sri Lanka","Asia"
"SDN","Sudan","Sudan","Africa"
"SUR","Suriname","Suriname","South America"
"SJM","Svalbard and Jan Mayen","Svalbard and Jan Mayen","Europe"
"SWZ","Swaziland","Swaziland","Africa"
"SWE","Sweden","Sweden","Europe"
"CHE","Switzerland","Switzerland","Europe"
"SYR","Syria","Syria","Asia"
"TWN","Taiwan","Taiwan","Asia"
"TJK","Tajikistan","Tajikistan","Asia"
"TZA","Tanzania","Tanzania","Africa"
"THA","Thailand","Thailand","Asia"
"TLS","Timor-Leste","Timor-Leste","Asia"
"TGO","Togo","Togo","Africa"
"TKL","Tokelau","Tokelau","Oceania"
"TON","Tonga","Tonga","Oceania"
"TTO","Trinidad and Tobago","Trinidad and Tobago","South America"
"TUN","Tunisia","Tunisia","Africa"
"TUR","Turkey","Turkey","Asia"
"TUR","Turkey","Turkey","Europe"
"TKM","Turkmenistan","Turkmenistan","Asia"
"TCA","Turks and Caicos Islands","Turks and Caicos Islands","North America"
"TUV","Tuvalu","Tuvalu","Oceania"
"UGA","Uganda","Uganda","Africa"
"UKR","Ukraine","Ukraine","Europe"
"ARE","United Arab Emirates","United Arab Emirates","Asia"
"GBR","United Kingdom","United Kingdom","Europe"
"UMI","United States Minor Outlying Isl","United States Minor Outlying Isl","Oceania"
"UMI","United States Minor Outlying Isl","United States Minor Outlying Isl","North America"
"USA","United States","United States","North America"
"USA","United States","United States","Asia"
"USA","United States","United States","Oceania"
"URY","Uruguay","Uruguay","South America"
"UZB","Uzbekistan","Uzbekistan","Asia"
"VUT","Vanuatu","Vanuatu","Oceania"
"VAT","Vatican City","Vatican City","Europe"
"VEN","Venezuela","Venezuela","South America"
"VNM","Vietnam","Vietnam","Asia"
"VIR","Virgin Islands, U.S.","Virgin Islands, U.S.","North America"
"WLF","Wallis and Futuna","Wallis and Futuna","Oceania"
"ESH","Western Sahara","Western Sahara","Africa"
"YEM","Yemen","Yemen","Asia"
"ZMB","Zambia","Zambia","Africa"
"ZWE","Zimbabwe","Zimbabwe","Africa"
